                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.5457,                 1.4282,                 1.5806,                0.75202,                0.64744,                0.73214,                0.56807,                0.35923,                 1.0798,                  1.302,                0.00769,                0.00769,                0.00769
                     73,                0.56013,                 1.4617,                 1.6102,                0.79912,                0.59513,                0.68734,                0.53995,                0.32168,                 1.1356,                 1.2679,               0.007657,               0.007657,               0.007657
                     74,                0.54495,                 1.4086,                 1.5836,                0.68264,                0.66949,                0.69753,                0.55081,                 0.3149,                 1.1387,                 1.2713,               0.007624,               0.007624,               0.007624
                     75,                0.55487,                 1.4304,                  1.587,                0.72212,                0.65573,                0.69191,                0.54036,                0.35144,                 1.1823,                 1.2891,               0.007591,               0.007591,               0.007591
                     76,                0.55966,                 1.4052,                 1.5815,                0.65706,                0.69276,                0.71591,                0.57283,                 0.3148,                 1.1054,                 1.2585,               0.007558,               0.007558,               0.007558
                     77,                0.55416,                 1.4284,                 1.5774,                0.69288,                 0.6239,                 0.6738,                0.53381,                0.31978,                 1.1334,                 1.2552,               0.007525,               0.007525,               0.007525
                     78,                0.54258,                 1.3712,                  1.564,                0.71768,                0.65323,                0.68108,                0.53246,                0.34291,                 1.2334,                 1.2661,               0.007492,               0.007492,               0.007492
                     79,                0.54041,                 1.3572,                 1.5611,                0.80238,                0.62548,                0.72087,                0.58133,                 0.3343,                 1.1217,                 1.2669,               0.007459,               0.007459,               0.007459
                     80,                0.54407,                 1.3365,                  1.557,                0.71503,                0.68039,                0.70152,                0.56119,                0.32604,                 1.1417,                 1.2518,               0.007426,               0.007426,               0.007426
                     81,                0.55573,                 1.3794,                 1.5819,                0.75894,                0.63374,                0.70095,                0.56607,                0.32339,                 1.1325,                 1.2552,               0.007393,               0.007393,               0.007393
                     82,                0.54366,                 1.3337,                 1.5508,                0.66336,                0.63219,                0.68854,                0.53935,                0.36268,                  1.155,                 1.3009,                0.00736,                0.00736,                0.00736
                     83,                0.54738,                 1.3455,                 1.5576,                0.70345,                0.65777,                0.71714,                0.56797,                 0.3298,                 1.0715,                 1.2544,               0.007327,               0.007327,               0.007327
                     84,                0.55524,                 1.3708,                 1.5675,                0.61793,                0.64415,                0.65333,                0.51305,                0.36173,                 1.2408,                  1.292,               0.007294,               0.007294,               0.007294
                     85,                0.53256,                 1.3506,                 1.5566,                0.71414,                0.55422,                0.63968,                0.48873,                0.40753,                 1.3315,                 1.3529,               0.007261,               0.007261,               0.007261
                     86,                 0.5372,                 1.3068,                 1.5419,                0.73069,                0.65465,                0.71644,                0.57282,                0.32557,                 1.1175,                 1.2468,               0.007228,               0.007228,               0.007228
                     87,                0.55148,                 1.3433,                 1.5582,                0.69831,                0.63803,                0.71675,                0.57619,                0.33038,                 1.1127,                 1.2522,               0.007195,               0.007195,               0.007195
                     88,                0.54648,                 1.3312,                 1.5449,                0.76784,                0.61218,                0.72159,                0.57268,                0.33198,                 1.1077,                 1.2481,               0.007162,               0.007162,               0.007162
                     89,                0.52876,                 1.2871,                 1.5225,                0.71419,                 0.6594,                0.71111,                0.56458,                 0.3235,                 1.1205,                 1.2493,               0.007129,               0.007129,               0.007129
                     90,                0.54319,                 1.3071,                 1.5376,                0.71215,                0.66861,                0.70097,                0.55621,                0.33045,                 1.1593,                 1.2571,               0.007096,               0.007096,               0.007096
                     91,                0.53287,                 1.3118,                 1.5371,                0.70459,                0.63732,                0.69918,                0.56121,                0.33894,                 1.1395,                 1.2607,               0.007063,               0.007063,               0.007063
                     92,                0.54382,                 1.3108,                  1.534,                0.70143,                0.60294,                0.66454,                0.53163,                0.34809,                 1.1815,                 1.2811,                0.00703,                0.00703,                0.00703
                     93,                0.53824,                 1.3155,                 1.5311,                0.72905,                0.65001,                0.71997,                0.57735,                0.35043,                 1.1088,                 1.2641,               0.006997,               0.006997,               0.006997
                     94,                0.53065,                 1.2621,                 1.5241,                0.72423,                0.67497,                0.72919,                0.58337,                0.33685,                 1.0517,                 1.2688,               0.006964,               0.006964,               0.006964
                     95,                0.54503,                 1.2844,                 1.5303,                0.68672,                0.67305,                0.72452,                0.57907,                0.34189,                 1.1159,                 1.2675,               0.006931,               0.006931,               0.006931
                     96,                0.54274,                 1.2731,                 1.5164,                0.73789,                0.68698,                0.72518,                0.57869,                0.33712,                 1.0776,                 1.2539,               0.006898,               0.006898,               0.006898
                     97,                0.53296,                 1.2653,                 1.5114,                0.67938,                0.67937,                0.70149,                0.54734,                0.37746,                 1.1669,                 1.3142,               0.006865,               0.006865,               0.006865
                     98,                0.54309,                 1.2654,                 1.5343,                0.70653,                0.65229,                0.71782,                0.56545,                0.39847,                 1.1341,                 1.3002,               0.006832,               0.006832,               0.006832
                     99,                0.51328,                 1.2283,                 1.4929,                0.64999,                0.61994,                0.68101,                0.54132,                0.36097,                 1.2004,                 1.2425,               0.006799,               0.006799,               0.006799
                    100,                 0.5306,                 1.2351,                 1.5112,                0.79312,                 0.6093,                0.70437,                0.55089,                0.35863,                 1.1362,                 1.2725,               0.006766,               0.006766,               0.006766
                    101,                0.52862,                 1.2278,                 1.4988,                0.70203,                0.65763,                0.73005,                0.59325,                0.32237,                 1.0663,                 1.2266,               0.006733,               0.006733,               0.006733
                    102,                0.53582,                 1.2379,                 1.5015,                0.78583,                0.64242,                0.71491,                0.57961,                0.33849,                 1.0982,                 1.2311,                 0.0067,                 0.0067,                 0.0067
                    103,                0.53046,                 1.2275,                 1.5089,                0.75294,                 0.6309,                0.71618,                0.57907,                 0.3307,                 1.1194,                   1.23,               0.006667,               0.006667,               0.006667
                    104,                0.52993,                  1.236,                 1.4991,                0.78822,                0.65129,                0.74213,                 0.5937,                0.33836,                  1.042,                 1.2369,               0.006634,               0.006634,               0.006634
                    105,                0.52789,                  1.189,                 1.4885,                0.74314,                0.62548,                0.73539,                0.58759,                0.35882,                 1.0451,                 1.2663,               0.006601,               0.006601,               0.006601
                    106,                 0.5206,                 1.2093,                 1.4842,                 0.6895,                0.61843,                0.68573,                0.54785,                0.35239,                 1.1625,                 1.2458,               0.006568,               0.006568,               0.006568
                    107,                0.54689,                 1.2434,                 1.5042,                0.73482,                0.61801,                0.69079,                0.56085,                0.34077,                 1.1611,                 1.2375,               0.006535,               0.006535,               0.006535
                    108,                0.52626,                 1.2062,                 1.4836,                0.72017,                 0.6344,                0.72546,                0.58354,                0.33345,                 1.1113,                  1.243,               0.006502,               0.006502,               0.006502
                    109,                0.54348,                 1.2071,                 1.4959,                0.75532,                0.65172,                0.71898,                0.57279,                0.35726,                 1.0896,                 1.2459,               0.006469,               0.006469,               0.006469
                    110,                0.52774,                 1.2078,                 1.4913,                0.72064,                0.64243,                0.69178,                0.55275,                0.34339,                 1.1241,                 1.2321,               0.006436,               0.006436,               0.006436
                    111,                0.51954,                 1.2073,                 1.4873,                0.76491,                0.63395,                0.73543,                0.59021,                0.33933,                 1.0432,                 1.2275,               0.006403,               0.006403,               0.006403
                    112,                0.52757,                 1.1906,                 1.4769,                0.76608,                0.62653,                0.71503,                0.57504,                0.33814,                 1.0864,                 1.2387,                0.00637,                0.00637,                0.00637
                    113,                0.52808,                 1.1814,                 1.4771,                0.78865,                0.66383,                0.73275,                0.58009,                0.36705,                 1.0731,                 1.2545,               0.006337,               0.006337,               0.006337
