                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.56455,                 1.5295,                  1.589,                0.68267,                 0.6198,                0.64992,                0.50539,                0.36802,                 1.2135,                 1.3198,                0.00802,                0.00802,                0.00802
                     63,                0.57326,                 1.5543,                 1.6124,                0.59644,                0.65802,                0.66471,                0.51458,                0.35981,                 1.2593,                 1.3272,               0.007987,               0.007987,               0.007987
                     64,                0.56954,                 1.5344,                 1.5824,                0.58094,                0.62944,                0.62683,                0.48409,                0.35153,                 1.2233,                 1.3255,               0.007954,               0.007954,               0.007954
                     65,                0.56129,                 1.4968,                 1.5874,                 0.5999,                0.62963,                0.65856,                0.50868,                 0.3666,                 1.2738,                 1.3213,               0.007921,               0.007921,               0.007921
                     66,                 0.5576,                 1.4884,                 1.5623,                0.58483,                0.66362,                0.67446,                0.53414,                0.33831,                 1.1529,                 1.2833,               0.007888,               0.007888,               0.007888
                     67,                0.59594,                 1.5209,                 1.6206,                0.62661,                0.54411,                0.60319,                0.45529,                0.42075,                 1.3275,                 1.3913,               0.007855,               0.007855,               0.007855
                     68,                0.54718,                 1.4794,                 1.5599,                0.68842,                0.59012,                 0.6779,                0.52745,                0.34449,                 1.1621,                 1.3032,               0.007822,               0.007822,               0.007822
                     69,                0.58559,                  1.504,                 1.6017,                0.61354,                0.50916,                0.56276,                0.42072,                0.46678,                 1.5257,                 1.4642,               0.007789,               0.007789,               0.007789
                     70,                0.56803,                 1.4788,                 1.5808,                0.61682,                0.63035,                0.64451,                0.49984,                0.36788,                 1.2306,                 1.3044,               0.007756,               0.007756,               0.007756
                     71,                0.56697,                 1.4541,                  1.562,                0.56174,                0.64285,                0.61432,                0.48359,                0.34179,                 1.3287,                 1.3002,               0.007723,               0.007723,               0.007723
                     72,                0.56353,                 1.4511,                 1.5591,                0.63194,                0.67615,                0.69647,                0.54049,                0.37581,                 1.1738,                 1.3237,                0.00769,                0.00769,                0.00769
                     73,                0.57302,                 1.4776,                 1.5763,                0.65157,                0.64838,                0.68447,                0.53204,                 0.3622,                 1.1815,                 1.3115,               0.007657,               0.007657,               0.007657
                     74,                 0.5563,                 1.4332,                 1.5556,                0.63065,                0.61555,                0.66027,                0.51667,                0.35703,                  1.197,                 1.3119,               0.007624,               0.007624,               0.007624
                     75,                 0.5633,                  1.453,                 1.5608,                0.72754,                0.62256,                0.69501,                0.54896,                0.37182,                 1.1846,                 1.3196,               0.007591,               0.007591,               0.007591
                     76,                0.56812,                 1.4141,                 1.5522,                0.68027,                0.61671,                 0.6723,                0.52943,                0.32049,                 1.1964,                 1.2536,               0.007558,               0.007558,               0.007558
                     77,                0.56388,                 1.4347,                 1.5499,                0.74017,                0.63734,                0.70717,                0.56833,                 0.3392,                 1.1249,                 1.2776,               0.007525,               0.007525,               0.007525
                     78,                0.54057,                 1.3852,                 1.5287,                 0.8039,                0.67611,                0.71196,                0.57336,                0.33613,                 1.1258,                  1.281,               0.007492,               0.007492,               0.007492
                     79,                 0.5557,                 1.3609,                 1.5299,                0.71969,                 0.6677,                 0.7029,                0.55468,                0.34682,                 1.1612,                 1.2902,               0.007459,               0.007459,               0.007459
                     80,                0.55029,                 1.3498,                  1.531,                0.74125,                0.66999,                0.70011,                0.55634,                0.33261,                 1.1731,                 1.2666,               0.007426,               0.007426,               0.007426
                     81,                0.55984,                 1.3815,                 1.5421,                0.76819,                0.65384,                0.69872,                0.54938,                 0.3489,                 1.1581,                 1.2693,               0.007393,               0.007393,               0.007393
                     82,                0.55512,                 1.3399,                 1.5236,                0.69215,                0.61474,                0.67716,                0.52891,                0.35634,                 1.1988,                 1.2855,                0.00736,                0.00736,                0.00736
                     83,                0.55871,                 1.3426,                 1.5312,                0.76431,                0.62631,                0.72843,                0.57526,                0.34656,                  1.101,                 1.2858,               0.007327,               0.007327,               0.007327
